S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs)
1546,Toyota Corolla XLi VVTi 2009,Toyota,2009,1111,Petrol,Manual,Islamabad,White,1300,Sedan,16.8
1547,Suzuki Bolan VX Euro II 2022,Suzuki,2022,6200,Petrol,Manual,Islamabad,White,800,Van,16.8
1548,Toyota Corolla XLi 2007,Toyota,2007,40000,Petrol,Manual,Islamabad,Beige,1300,Sedan,16.8
1549,Suzuki Bolan VX Euro II 2022,Suzuki,2022,7500,Petrol,Manual,Islamabad,White,800,Van,16.8
1550,Suzuki Cultus Limited Edition 2016,Suzuki,2016,21000,Petrol,Manual,Islamabad,White,1000,Hatchback,16.8
1551,Suzuki Bolan VX Euro II 2021,Suzuki,2021,7764,Petrol,Manual,Islamabad,White,800,Van,16.8
1552,Suzuki Bolan VX Euro II AC 2022,Suzuki,2022,5078,Petrol,Manual,Peshawar,White,800,Micro Van,16.8
1553,Suzuki Cultus EURO II 2015,Suzuki,2015,41000,Petrol,Manual,Islamabad,Silver,1000,Hatchback,16.85
1554,Suzuki Cultus EURO II 2015,Suzuki,2015,25200,Petrol,Manual,Islamabad,White,1000,Hatchback,16.9
1555,Suzuki Cultus VXL 2020,Suzuki,2020,42000,Petrol,Manual,Islamabad,Silver,1000,Hatchback,16.9
1556,Suzuki Cultus VXR 2017,Suzuki,2017,52000,Petrol,Manual,Sindh,Silver,1000,Hatchback,16.9
1557,Suzuki Cultus VXL 2020,Suzuki,2020,42000,Petrol,Manual,Punjab,Silver,1000,Hatchback,16.9
1558,Suzuki Bolan VX Euro II 2021,Suzuki,2021,9700,Petrol,Manual,Islamabad,White,800,Van,16.9
1559,Suzuki Swift DLX 1.3 2015,Suzuki,2015,55000,Petrol,Manual,Rawalpindi,Gold,1300,Hatchback,16.9
1560,Suzuki Wagon R VXR 2018,Suzuki,2018,49000,Petrol,Manual,Sindh,Grey,1000,Hatchback,16.95
1561,Suzuki Cultus Limited Edition 2016,Suzuki,2016,44000,Petrol,Manual,Islamabad,Grey,1000,Hatchback,17
1562,Suzuki APV GLX 2006,Suzuki,2006,20000,Petrol,Manual,Punjab,Silver,1600,MPV,17
1563,FAW V2 VCT-i 2018,FAW,2018,59000,Petrol,Manual,Islamabad,White,1300,Hatchback,17
1564,Toyota Vitz RS 1.5 2000,Toyota,2000,50000,Petrol,Automatic,Punjab,Blue,1500,Hatchback,17
1565,Changan Karvaan Base Model 1.0 2020,Changan,2020,36000,Petrol,Manual,Un-Registered,White,1000,Mini Van,17
1566,Suzuki Cultus Limited Edition 2016,Suzuki,2016,59000,Petrol,Manual,Punjab,White,1000,Hatchback,17
1567,Suzuki Wagon R VXR 2018,Suzuki,2018,52000,Petrol,Manual,Sindh,Silver,1000,Hatchback,17.1
1568,United Alpha 1.0 Manual 2021,United,2021,5000,Petrol,Manual,Punjab,Maroon,1000,Hatchback,17.1
1569,Suzuki Cultus Limited Edition 2016,Suzuki,2016,48000,Petrol,Manual,Islamabad,White,1000,Hatchback,17.15
1570,Suzuki Every Join 2014,Suzuki,2014,55000,Petrol,Automatic,Sindh,Black,660,Micro Van,17.2
1571,Suzuki Wagon R VXL 2018,Suzuki,2018,42000,Petrol,Manual,Punjab,Grey,1000,Hatchback,17.25
1572,Toyota Corolla GLi 1.3 VVTi 2010,Toyota,2010,1111,Petrol,Manual,Islamabad,Green,1300,Sedan,17.3
1573,Suzuki Wagon R VXR 2015,Suzuki,2015,47000,Petrol,Manual,Punjab,Maroon,1000,Hatchback,17.35
1574,Suzuki Cultus Limited Edition 2017,Suzuki,2017,48000,Petrol,Manual,Islamabad,White,1000,Hatchback,17.4
1575,United Alpha 1.0 Manual 2022,United,2022,1500,Petrol,Manual,Sindh,Grey,1000,Hatchback,17.4
1576,Suzuki Swift DLX Automatic 1.3 Navigation 2014,Suzuki,2014,54000,Petrol,Automatic,Sindh,Grey,1300,Hatchback,17.45
1577,Toyota Hilux Double Cab 1994,Toyota,1994,50000,Diesel,Manual,Peshawar,Blue,2400,SUV,17.5
1578,Suzuki Bolan VX 2022,Suzuki,2022,4500,Petrol,Manual,Islamabad,White,800,Mini Van,17.5
1579,Suzuki Wagon R VXL 2017,Suzuki,2017,60000,Petrol,Manual,Lahore,White,1000,Hatchback,17.5
1580,Suzuki Bolan VX Euro II 2022,Suzuki,2022,7000,Petrol,Manual,Islamabad,White,800,Van,17.5
1581,Suzuki Swift DLX 1.3 2014,Suzuki,2014,57000,Petrol,Manual,Sindh,Grey,1300,Hatchback,17.5
1582,Suzuki Ravi Euro II 2022,Suzuki,2022,1050,Petrol,Manual,Rawalpindi,White,800,Pick Up,17.5
1583,Suzuki Wagon R VXL 2016,Suzuki,2016,59000,Petrol,Manual,Lahore,Silver,1000,Hatchback,17.5
1584,Suzuki Cultus Limited Edition 2016,Suzuki,2016,35000,Petrol,Manual,Islamabad,Silver,1000,Hatchback,17.5
1585,Suzuki Alto VXR 2019,Suzuki,2019,60000,Petrol,Manual,Punjab,White,660,Hatchback,17.5
1586,Suzuki Wagon R VXL 2017,Suzuki,2017,52000,Petrol,Manual,Punjab,White,1000,Hatchback,17.5
1587,Toyota Corolla XLi VVTi 2010,Toyota,2010,1390,Petrol,Automatic,Peshawar,Green,1300,Sedan,17.5
1588,Suzuki Wagon R VXL 2017,Suzuki,2017,59000,Petrol,Manual,Punjab,Silver,1000,Hatchback,17.5
1589,Suzuki Wagon R VXL 2015,Suzuki,2015,60000,Petrol,Manual,Lahore,Beige,1000,Hatchback,17.5
1590,Changan Karvaan Base Model 1.0 2020,Changan,2020,59000,Petrol,Manual,Adda jahan khan,Black,1000,Mini Van,17.5
1591,Suzuki Wagon R VXL 2017,Suzuki,2017,47000,Petrol,Manual,Sindh,Grey,1000,Hatchback,17.6
1592,Changan Karvaan Base Model 1.0 2019,Changan,2019,47000,Petrol,Manual,Sindh,White,1000,Mini Van,17.6
1593,Suzuki Bolan VX Euro II 2022,Suzuki,2022,6500,Petrol,Manual,Punjab,White,800,Van,17.6
1594,Suzuki Alto VXR 2019,Suzuki,2019,27000,Petrol,Manual,Sindh,Beige,660,Hatchback,17.7
1595,Suzuki Alto ECO-L 2013,Suzuki,2013,20000,Petrol,Automatic,Islamabad,Blue,660,Hatchback,17.7
1596,Suzuki Alto VXR 2019,Suzuki,2019,23000,Petrol,Manual,Sindh,Silver,660,Hatchback,17.7
1597,Suzuki Wagon R VXL 2017,Suzuki,2017,58000,Petrol,Manual,Lahore,Silver,1000,Hatchback,17.75
1598,Suzuki Alto VXR 2019,Suzuki,2019,24000,Petrol,Manual,Sindh,White,660,Hatchback,17.75
1599,Suzuki Alto VX 2019,Suzuki,2019,48000,Petrol,Manual,Lahore,White,660,Hatchback,17.75
1600,Suzuki Wagon R VXL 2018,Suzuki,2018,58000,Petrol,Manual,Lahore,White,1000,Hatchback,17.8
1601,Suzuki Cultus Limited Edition 2017,Suzuki,2017,49000,Petrol,Manual,Islamabad,White,1000,Hatchback,17.8
1602,Toyota Corolla GLi 1.3 2008,Toyota,2008,786,Petrol,Manual,Islamabad,Black,1300,Sedan,17.8
1603,Toyota Corolla XLi VVTi 2011,Toyota,2011,1234,Petrol,Manual,Lahore,Black,1300,Sedan,17.8
1604,Suzuki Wagon R VXL 2017,Suzuki,2017,42000,Petrol,Manual,Islamabad,White,1000,Hatchback,17.8
