S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs),PredictedPrice_LR,PredictedPrice_RR,PredictedPrice_SVR
2658,Suzuki Alto VXR 2021,Suzuki,2021,17000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.8,19.47766240801593,19.4008009547033,18.908931163181443
2659,Suzuki Swift DLX 1.3 Navigation  2018,Suzuki,2018,56000,Petrol,Manual,Islamabad,Silver,1300.0,Hatchback,21.8,27.523980560646123,27.480735287459538,36.68397713781627
2660,Changan Karvaan Base Model 1.0 2022,Changan,2022,32000,Petrol,Manual,Punjab,Black,1000.0,Mini Van,21.8,26.914284981283345,26.834661560114,26.809987589836993
2661,Toyota Corolla Altis 1.8 2008,Toyota,2008,1000,Petrol,Automatic,Islamabad,Black,1800.0,Sedan,21.8,31.61045324960014,31.900601507939427,57.24465703217434
2662,Suzuki Alto VXR 2022,Suzuki,2022,1500,Petrol,Manual,Sindh,White,660.0,Hatchback,21.8,20.86364398544174,20.795928827191346,18.913099123119714
2663,Changan Karvaan Plus 2021,Changan,2021,30000,Petrol,Manual,Un-Registered,White,1000.0,Mini Van,21.8,25.698359204424378,25.650526197251565,26.80569528008308
2664,Suzuki Alto VXR 2022,Suzuki,2022,15000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.8,21.56402032074311,21.47680245219908,18.91317615774784
2665,Suzuki Wagon R VXL 2020,Suzuki,2020,43900,Petrol,Manual,Islamabad,Grey,1000.0,Hatchback,21.8,25.714103395327584,25.679502843914634,26.800697752549567
2666,Changan Karvaan Base Model 1.0 2021,Changan,2021,27000,Petrol,Manual,Sindh,Black,1000.0,Mini Van,21.8,24.127550733254793,24.077786437610484,26.805460522543697
2667,Suzuki Alto VXR 2022,Suzuki,2022,7200,Petrol,Manual,Punjab,Beige,660.0,Hatchback,21.8,24.303628024776117,24.12823585824117,18.91319220391106
2668,Suzuki Alto VXR 2022,Suzuki,2022,4000,Petrol,Manual,Sindh,White,660.0,Hatchback,21.8,20.86364398544174,20.795928827191346,18.913099123119714
2669,Suzuki Cultus VXR 2018,Suzuki,2018,54000,Petrol,Manual,Punjab,Grey,1000.0,Hatchback,21.8,20.816362910406497,20.75146881247929,26.79183472897028
